date,idea,trend_score,mentions,engagement,sentiment
2013-01-01,4-Day Work Week,8.51,277,99,0.487
2013-02-01,4-Day Work Week,5.0,166,38,0.503
2013-03-01,4-Day Work Week,9.25,163,79,0.495
2013-04-01,4-Day Work Week,5.0,114,43,0.875
2013-05-01,4-Day Work Week,5.77,115,66,0.685
2013-06-01,4-Day Work Week,5.03,128,74,0.58
2013-07-01,4-Day Work Week,5.0,131,73,0.535
2013-08-01,4-Day Work Week,11.18,246,90,0.547
2013-09-01,4-Day Work Week,6.68,201,58,0.577
2013-10-01,4-Day Work Week,9.86,219,62,0.808
2013-11-01,4-Day Work Week,9.8,318,94,0.646
2013-12-01,4-Day Work Week,5.0,103,68,0.476
2014-01-01,4-Day Work Week,10.45,250,149,0.927
2014-02-01,4-Day Work Week,8.38,238,68,0.513
2014-03-01,4-Day Work Week,5.0,140,42,0.579
2014-04-01,4-Day Work Week,8.35,157,67,0.807
2014-05-01,4-Day Work Week,5.0,162,46,0.7
2014-06-01,4-Day Work Week,11.95,334,158,0.594
2014-07-01,4-Day Work Week,9.64,315,114,0.502
2014-08-01,4-Day Work Week,7.05,231,92,0.534
2014-09-01,4-Day Work Week,11.13,301,125,0.541
2014-10-01,4-Day Work Week,5.0,167,42,0.651
2014-11-01,4-Day Work Week,5.22,169,42,0.673
2014-12-01,4-Day Work Week,6.78,232,41,0.632
2015-01-01,4-Day Work Week,14.31,463,186,0.645
2015-02-01,4-Day Work Week,5.0,159,68,0.524
2015-03-01,4-Day Work Week,5.0,129,65,0.685
2015-04-01,4-Day Work Week,5.0,106,33,0.804
2015-05-01,4-Day Work Week,10.59,354,136,0.63
2015-06-01,4-Day Work Week,6.15,185,39,0.628
2015-07-01,4-Day Work Week,7.52,169,52,0.66
2015-08-01,4-Day Work Week,10.36,243,103,0.784
2015-09-01,4-Day Work Week,7.66,226,79,0.543
2015-10-01,4-Day Work Week,8.81,228,118,0.824
2015-11-01,4-Day Work Week,9.87,187,120,0.701
2015-12-01,4-Day Work Week,7.04,141,52,0.653
2016-01-01,4-Day Work Week,7.9,241,63,0.796
2016-02-01,4-Day Work Week,9.19,214,79,0.508
2016-03-01,4-Day Work Week,11.14,294,79,0.713
2016-04-01,4-Day Work Week,6.22,192,53,0.702
2016-05-01,4-Day Work Week,5.0,153,63,0.538
2016-06-01,4-Day Work Week,10.77,220,88,0.705
2016-07-01,4-Day Work Week,11.58,223,157,0.684
2016-08-01,4-Day Work Week,9.47,264,97,0.629
2016-09-01,4-Day Work Week,9.74,297,87,0.754
2016-10-01,4-Day Work Week,7.31,147,71,0.581
2016-11-01,4-Day Work Week,10.57,254,131,0.682
2016-12-01,4-Day Work Week,11.69,383,125,0.634
2017-01-01,4-Day Work Week,9.37,319,57,0.576
2017-02-01,4-Day Work Week,16.74,426,239,0.71
2017-03-01,4-Day Work Week,5.0,94,33,0.625
2017-04-01,4-Day Work Week,9.89,218,143,0.473
2017-05-01,4-Day Work Week,5.94,128,37,0.434
2017-06-01,4-Day Work Week,12.17,264,158,0.745
2017-07-01,4-Day Work Week,5.0,131,54,0.504
2017-08-01,4-Day Work Week,5.66,157,60,0.684
2017-09-01,4-Day Work Week,7.83,154,52,0.657
2017-10-01,4-Day Work Week,10.6,350,86,0.606
2017-11-01,4-Day Work Week,8.08,229,105,0.885
2017-12-01,4-Day Work Week,8.18,229,115,0.672
2018-01-01,4-Day Work Week,9.46,329,102,0.741
2018-02-01,4-Day Work Week,9.94,283,91,0.684
2018-03-01,4-Day Work Week,15.8,533,103,0.622
2018-04-01,4-Day Work Week,14.06,316,171,0.648
2018-05-01,4-Day Work Week,11.69,254,99,0.825
2018-06-01,4-Day Work Week,19.62,521,127,0.781
2018-07-01,4-Day Work Week,15.47,409,186,0.884
2018-08-01,4-Day Work Week,11.76,252,122,0.677
2018-09-01,4-Day Work Week,16.1,479,98,0.545
2018-10-01,4-Day Work Week,17.61,317,123,0.597
2018-11-01,4-Day Work Week,14.6,432,180,0.507
2018-12-01,4-Day Work Week,14.18,361,93,0.742
2019-01-01,4-Day Work Week,18.26,540,252,0.58
2019-02-01,4-Day Work Week,18.34,474,161,0.283
2019-03-01,4-Day Work Week,25.27,874,172,0.946
2019-04-01,4-Day Work Week,24.47,572,314,0.582
2019-05-01,4-Day Work Week,21.74,754,233,0.581
2019-06-01,4-Day Work Week,26.36,491,231,0.851
2019-07-01,4-Day Work Week,30.3,893,293,0.505
2019-08-01,4-Day Work Week,23.74,604,147,0.786
2019-09-01,4-Day Work Week,26.26,838,314,0.58
