date,idea,trend_score,mentions,engagement,sentiment,momentum,growth_rate,rolling_avg_3,rolling_avg_6,engagement_rate,dormancy_flag,revival_signal,revival_label
2013-07-01,4-Day Work Week,0.05,131,73,0.535,-0.00030000000000000165,-0.41245593419506454,0.05266666666666667,0.058416666666666665,0.5572519083969466,1,0,0
2013-08-01,4-Day Work Week,0.1118,246,90,0.547,0.061799999999999994,1.0,0.0707,0.06871666666666666,0.36585365853658536,1,1,0
2013-09-01,4-Day Work Week,0.0668,201,58,0.577,-0.045,-0.2778378378378379,0.07619999999999999,0.06443333333333333,0.2885572139303483,1,0,0
2013-10-01,4-Day Work Week,0.0986,219,62,0.808,0.031799999999999995,0.9719999999999998,0.0924,0.07253333333333332,0.2831050228310502,1,1,0
2013-11-01,4-Day Work Week,0.098,318,94,0.646,-0.0005999999999999894,0.6984402079722707,0.08779999999999999,0.07925,0.29559748427672955,1,0,0
2013-12-01,4-Day Work Week,0.05,103,68,0.476,-0.048,-0.005964214711729698,0.08220000000000001,0.0792,0.6601941747572816,1,0,0
2014-01-01,4-Day Work Week,0.1045,250,149,0.927,0.05449999999999999,1.0,0.08416666666666667,0.08828333333333334,0.596,1,1,0
2014-02-01,4-Day Work Week,0.08380000000000001,238,68,0.513,-0.020699999999999982,-0.2504472271914131,0.07943333333333334,0.08361666666666667,0.2857142857142857,1,0,0
2014-03-01,4-Day Work Week,0.05,140,42,0.579,-0.03380000000000001,-0.25149700598802394,0.07943333333333334,0.08081666666666668,0.3,1,0,0
2014-04-01,4-Day Work Week,0.08349999999999999,157,67,0.807,0.03349999999999999,-0.15314401622718055,0.07243333333333334,0.0783,0.4267515923566879,1,1,0
2014-05-01,4-Day Work Week,0.05,162,46,0.7,-0.03349999999999999,-0.4897959183673469,0.06116666666666667,0.07030000000000002,0.2839506172839506,1,0,0
2014-06-01,4-Day Work Week,0.1195,334,158,0.594,0.06949999999999999,1.0,0.08433333333333333,0.08188333333333332,0.47305389221556887,1,1,0
2014-07-01,4-Day Work Week,0.0964,315,114,0.502,-0.023099999999999996,-0.07751196172248798,0.08863333333333334,0.08053333333333333,0.3619047619047619,1,0,0
2014-08-01,4-Day Work Week,0.0705,231,92,0.534,-0.025900000000000006,-0.15871121718377112,0.09546666666666666,0.07831666666666666,0.39826839826839827,1,0,0
2014-09-01,4-Day Work Week,0.11130000000000001,301,125,0.541,0.04080000000000002,1.0,0.09273333333333333,0.08853333333333334,0.4152823920265781,1,1,0
2014-10-01,4-Day Work Week,0.05,167,42,0.651,-0.06130000000000001,-0.4011976047904191,0.07726666666666666,0.08295000000000001,0.25149700598802394,1,0,0
2014-11-01,4-Day Work Week,0.052199999999999996,169,42,0.673,0.0021999999999999936,0.04399999999999982,0.07116666666666667,0.08331666666666666,0.2485207100591716,1,1,0
2014-12-01,4-Day Work Week,0.0678,232,41,0.632,0.015600000000000003,-0.4326359832635983,0.056666666666666664,0.0747,0.17672413793103448,1,1,0
2015-01-01,4-Day Work Week,0.1431,463,186,0.645,0.0753,0.4844398340248963,0.0877,0.08248333333333334,0.4017278617710583,1,1,0
2015-02-01,4-Day Work Week,0.05,159,68,0.524,-0.0931,-0.2907801418439715,0.08696666666666668,0.07906666666666666,0.4276729559748428,1,0,0
2015-03-01,4-Day Work Week,0.05,129,65,0.685,0.0,-0.5507637017070979,0.08103333333333333,0.06885000000000001,0.5038759689922481,1,0,0
2015-04-01,4-Day Work Week,0.05,106,33,0.804,0.0,0.0,0.05,0.06885000000000001,0.3113207547169811,1,0,0
2015-05-01,4-Day Work Week,0.1059,354,136,0.63,0.05589999999999999,1.0,0.06863333333333334,0.07780000000000001,0.384180790960452,1,1,0
2015-06-01,4-Day Work Week,0.061500000000000006,185,39,0.628,-0.04439999999999999,-0.09292035398230081,0.07246666666666667,0.07675,0.21081081081081082,1,0,0
2015-07-01,4-Day Work Week,0.07519999999999999,169,52,0.66,0.013699999999999983,-0.4744933612858142,0.08086666666666666,0.06543333333333333,0.3076923076923077,1,1,0
2015-08-01,4-Day Work Week,0.1036,243,103,0.784,0.02840000000000001,1.0,0.08009999999999999,0.07436666666666668,0.42386831275720166,1,1,0
2015-09-01,4-Day Work Week,0.0766,226,79,0.543,-0.026999999999999996,0.532,0.08513333333333332,0.0788,0.3495575221238938,1,0,0
2015-10-01,4-Day Work Week,0.08810000000000001,228,118,0.824,0.01150000000000001,0.7620000000000002,0.08943333333333332,0.08515,0.5175438596491229,1,1,0
2015-11-01,4-Day Work Week,0.0987,187,120,0.701,0.010599999999999984,-0.06798866855524077,0.0878,0.08395000000000001,0.6417112299465241,1,1,0
2015-12-01,4-Day Work Week,0.0704,141,52,0.653,-0.028299999999999992,0.1447154471544716,0.08573333333333333,0.08543333333333332,0.36879432624113473,1,0,0
2016-01-01,4-Day Work Week,0.079,241,63,0.796,0.008599999999999997,0.05053191489361719,0.0827,0.08606666666666667,0.26141078838174275,1,1,0
2016-02-01,4-Day Work Week,0.0919,214,79,0.508,0.012899999999999995,-0.11293436293436299,0.08043333333333333,0.08411666666666666,0.3691588785046729,1,1,0
2016-03-01,4-Day Work Week,0.1114,294,79,0.713,0.019500000000000003,0.4543080939947781,0.0941,0.08991666666666666,0.2687074829931973,1,1,0
2016-04-01,4-Day Work Week,0.0622,192,53,0.702,-0.0492,-0.29398410896708294,0.08849999999999998,0.08560000000000001,0.2760416666666667,1,0,0
2016-05-01,4-Day Work Week,0.05,153,63,0.538,-0.012199999999999996,-0.4934143870314083,0.07453333333333333,0.07748333333333333,0.4117647058823529,1,0,0
2016-06-01,4-Day Work Week,0.10769999999999999,220,88,0.705,0.05769999999999999,0.5298295454545452,0.07329999999999999,0.0837,0.4,1,1,0
2016-07-01,4-Day Work Week,0.1158,223,157,0.684,0.00810000000000001,0.4658227848101266,0.09116666666666666,0.08983333333333332,0.7040358744394619,1,1,0
2016-08-01,4-Day Work Week,0.0947,264,97,0.629,-0.021099999999999994,0.030467899891186256,0.10606666666666666,0.09029999999999999,0.36742424242424243,1,0,0
2016-09-01,4-Day Work Week,0.0974,297,87,0.754,0.002699999999999994,-0.125673249551167,0.10263333333333334,0.08796666666666668,0.29292929292929293,1,1,0
2016-10-01,4-Day Work Week,0.0731,147,71,0.581,-0.024300000000000002,0.17524115755627,0.08839999999999999,0.08978333333333333,0.48299319727891155,1,0,0
2016-11-01,4-Day Work Week,0.1057,254,131,0.682,0.032600000000000004,1.0,0.09206666666666667,0.09906666666666665,0.515748031496063,1,1,0
